id,category,language,question,answer
388,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What is the cultural meaning of offering flowers at temples?,It symbolizes purity and the impermanence of life.
389,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What is the significance of the full moon day?,"It is a sacred day in Buddhism for prayer, meditation, and temple visits."
390,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,Can tourists participate in local festivals?,"Yes, most festivals welcome visitors to observe or join."
391,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,Are there special events for tourists during peak season?,"Yes, cultural shows, village tours, and craft workshops are common."
392,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What are some traditional musical instruments?,"Drums, flutes, conch shells, and string instruments."
393,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What is a blessing ceremony?,A religious ritual where monks chant and offer blessings for protection.
394,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What foods are common during Vesak and Poson?,"Vegetarian meals, rice dishes, fruit, and traditional sweets."
395,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What are common decorations during festivals?,"Lanterns, lights, flags, and colorful paper designs."
396,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,Do villages have special harvest celebrations?,"Yes, villagers hold rituals, music events, and food-sharing ceremonies."
397,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,Are cultural dances open to the public?,"Yes, many cultural centers host nightly performances."
398,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,How do Sri Lankans show respect in cultural settings?,"By speaking politely, greeting elders, and following customs."
399,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,What are the most common cultural crafts?,"Batik art, pottery, weaving, wood carving, and lacquer work."
400,"CATEGORY 8 — CULTURE, TRADITIONS & EVENTS",English,Why are cultural events important in Sri Lanka?,"They preserve traditions, bring communities together, and reflect national identity."
401,CATEGORY 9 — WEATHER & SEASONS,English,What is the weather like in Sri Lanka?,Sri Lanka has warm tropical weather throughout the year.
402,CATEGORY 9 — WEATHER & SEASONS,English,What are the main seasons in Sri Lanka?,The country has two monsoon seasons and two dry seasons.
403,CATEGORY 9 — WEATHER & SEASONS,English,When is the southwest monsoon?,It usually occurs from May to September.
404,CATEGORY 9 — WEATHER & SEASONS,English,When is the northeast monsoon?,It occurs from December to February.
405,CATEGORY 9 — WEATHER & SEASONS,English,What is the best time to visit Sri Lanka?,December to April is ideal for the south and west; May to October is best for the east.
406,CATEGORY 9 — WEATHER & SEASONS,English,Does Sri Lanka experience cold weather?,"The hill country is cooler, especially in places like Nuwara Eliya."
407,CATEGORY 9 — WEATHER & SEASONS,English,Does it rain heavily during the monsoon?,"Yes, certain regions experience strong rains and thunderstorms."
408,CATEGORY 9 — WEATHER & SEASONS,English,What type of clothing is suitable for hot weather?,"Light cotton clothing, hats, and comfortable footwear."
409,CATEGORY 9 — WEATHER & SEASONS,English,How should I prepare for sudden rain?,"Carry an umbrella, raincoat, or waterproof bag."
410,CATEGORY 9 — WEATHER & SEASONS,English,Is the sea safe for swimming during monsoon months?,Some beaches are unsafe due to strong currents; always follow flag warnings.
411,CATEGORY 9 — WEATHER & SEASONS,English,How hot does Sri Lanka get?,Temperatures often range between 27°C and 32°C in most areas.
412,CATEGORY 9 — WEATHER & SEASONS,English,Does humidity affect the weather?,"Yes, humidity is high and can make the weather feel warmer."
413,CATEGORY 9 — WEATHER & SEASONS,English,Are evenings cooler in the hill country?,"Yes, nights can be cold, so warm clothes are recommended."
414,CATEGORY 9 — WEATHER & SEASONS,English,What is the average temperature in Nuwara Eliya?,It ranges between 10°C and 18°C throughout the year.
415,CATEGORY 9 — WEATHER & SEASONS,English,Can heavy rains affect travel plans?,"Yes, some roads may flood, and train schedules might be delayed."
416,CATEGORY 9 — WEATHER & SEASONS,English,What is the weather like during April?,April is generally hot and sunny across most of the country.
417,CATEGORY 9 — WEATHER & SEASONS,English,When is the peak tourist season?,December to March is the busiest time for tourists.
418,CATEGORY 9 — WEATHER & SEASONS,English,Does Sri Lanka experience storms or cyclones?,"Occasionally, the country may experience strong winds and heavy rains from storms."
419,CATEGORY 9 — WEATHER & SEASONS,English,How can tourists stay safe during storms?,"Stay indoors, avoid the beach, and follow local weather updates."
420,CATEGORY 9 — WEATHER & SEASONS,English,Are there times when the sea is very calm?,"Yes, from December to April along the southern coast."
421,CATEGORY 9 — WEATHER & SEASONS,English,Can I go hiking during rainy season?,It is possible but risky due to slippery paths and poor visibility.
422,CATEGORY 9 — WEATHER & SEASONS,English,What is the weather like on the east coast?,It is sunny and dry from April to September.
423,CATEGORY 9 — WEATHER & SEASONS,English,When is the ideal season for surfing in Sri Lanka?,The south coast is best from November to April; the east coast from April to October.
424,CATEGORY 9 — WEATHER & SEASONS,English,How do locals prepare for monsoon season?,"They secure roofs, clear drainage, and stock essential items."
425,CATEGORY 9 — WEATHER & SEASONS,English,What is the temperature like in Colombo?,"Colombo is generally warm, with temperatures around 28°C to 31°C."
426,CATEGORY 9 — WEATHER & SEASONS,English,Does it rain every day during monsoon?,Not always; rainfall varies depending on the region and day.
427,CATEGORY 9 — WEATHER & SEASONS,English,What should tourists pack when visiting Sri Lanka?,"Light clothes, sunscreen, hats, rain protection, and comfortable shoes."
428,CATEGORY 9 — WEATHER & SEASONS,English,Are evenings warm in coastal areas?,"Yes, coastal areas remain warm even at night."
429,CATEGORY 9 — WEATHER & SEASONS,English,Can fog affect travel in the hill country?,"Yes, mornings and evenings may have thick fog reducing visibility."
430,CATEGORY 9 — WEATHER & SEASONS,English,When is the dry season in the west and south?,From December to April.
431,CATEGORY 9 — WEATHER & SEASONS,English,When is the dry season in the east and north?,From May to September.
432,CATEGORY 9 — WEATHER & SEASONS,English,Does Sri Lanka have a winter season?,"No, but the hill country is cool like mild winter."
433,CATEGORY 9 — WEATHER & SEASONS,English,Can I expect sunny weather during December?,"Yes, December is generally sunny in the south and west."
434,CATEGORY 9 — WEATHER & SEASONS,English,Does the weather affect wildlife safaris?,"Yes, heavy rain may reduce visibility and animal sightings."
435,CATEGORY 9 — WEATHER & SEASONS,English,Are sunrise and sunset times consistent?,"Yes, sunrise and sunset occur at similar times throughout the year."
436,CATEGORY 9 — WEATHER & SEASONS,English,What time of year is best for whale watching?,November to April is the recommended season in Mirissa.
437,CATEGORY 9 — WEATHER & SEASONS,English,What weather conditions are ideal for hiking?,Clear mornings with mild temperatures are best.
438,CATEGORY 9 — WEATHER & SEASONS,English,Can the weather change suddenly?,"Yes, tropical weather can shift quickly with unexpected showers."
439,CATEGORY 9 — WEATHER & SEASONS,English,When does Sri Lanka feel hottest?,March and April are typically the hottest months.
440,CATEGORY 9 — WEATHER & SEASONS,English,Are thunderstorms common?,"Yes, especially during monsoon and inter-monsoon periods."
441,CATEGORY 9 — WEATHER & SEASONS,English,Is sunscreen necessary in Sri Lanka?,"Yes, strong sunlight makes sunscreen essential."
442,CATEGORY 9 — WEATHER & SEASONS,English,How can I stay safe during lightning?,"Stay indoors, avoid trees, and keep away from metal objects."
443,CATEGORY 9 — WEATHER & SEASONS,English,What should tourists do during heatwaves?,"Drink water often, stay in shade, and avoid going out midday."
444,CATEGORY 9 — WEATHER & SEASONS,English,Are evenings pleasant for outdoor activities?,"Yes, evenings are usually cooler and suitable for sightseeing."
445,CATEGORY 9 — WEATHER & SEASONS,English,Does rain affect train travel?,"Heavy rain may cause delays, so check schedules in advance."
446,CATEGORY 9 — WEATHER & SEASONS,English,How can I stay comfortable in humid weather?,"Wear light clothes, use fans or AC, and stay hydrated."
447,CATEGORY 9 — WEATHER & SEASONS,English,When is the best time to visit cultural sites?,Early morning or late afternoon to avoid heat.
448,CATEGORY 9 — WEATHER & SEASONS,English,Can monsoons affect beach holidays?,"Yes, certain beaches may have rough seas during monsoons."
449,CATEGORY 9 — WEATHER & SEASONS,English,What should I do if the weather forecast shows storms?,Plan indoor activities and avoid traveling long distances.
450,CATEGORY 9 — WEATHER & SEASONS,English,Why is Sri Lanka’s climate popular with tourists?,"It offers warm weather, beautiful seasons, and travel options year-round."
451,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I need urgent help?,Call the local emergency numbers and ask hotel staff for assistance.
452,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is Sri Lanka safe for tourists?,"Yes, Sri Lanka is generally safe, especially in tourist areas."
453,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I keep my passport safe while traveling?,Store it in a hotel safe and carry only a photocopy when going out.
454,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I avoid doing in public places?,"Avoid displaying valuables, behaving loudly, or disrespecting cultural norms."
455,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if a street dog approaches me?,"Stay calm, avoid touching it, and do not offer food."
456,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid getting lost?,Use a map or navigation app and ask locals for directions.
457,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Are public restrooms easily available?,"Yes, restrooms are available in hotels, malls, and some public areas."
458,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What clothing is recommended for temples?,Wear modest clothes that cover your shoulders and knees.
459,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is tap water safe to drink?,It’s best to drink bottled or boiled water.
460,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How should I behave in religious sites?,"Be respectful, remain quiet, remove shoes, and avoid taking photos in restricted areas."
461,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I be careful about on the beach?,"Watch for strong waves, avoid swimming alone, and follow safety flags."
462,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Are there areas tourists should avoid at night?,Avoid isolated streets and beaches; stay in well-lit areas.
463,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I lose my wallet?,Report it to the police and contact your bank immediately.
464,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How do I avoid heatstroke?,"Drink water often, rest in shade, and avoid long walks in the afternoon."
465,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How do I protect my skin from the sun?,"Use sunscreen, wear a hat, and cover your arms when outdoors."
466,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is it safe to travel alone in Sri Lanka?,"Yes, but always stay aware of your surroundings."
467,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid tourist scams?,"Use trusted services, check prices, and avoid accepting offers from strangers."
468,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if someone offers me something for free?,"Politely decline, as it may involve hidden charges."
469,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is photography allowed everywhere?,"No, some temples and military areas do not allow photography."
470,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What is the safest way to carry money?,Use a secure pouch and avoid taking out large amounts in public.
471,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Can I swim at any beach?,Only swim in areas marked safe by lifeguards or local guides.
472,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I feel uncomfortable with a stranger?,"Move away, join a crowd, or seek help from nearby staff."
473,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is hitchhiking recommended?,"No, it is safer to use taxis or public transport."
474,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How do I avoid insect bites?,Apply mosquito repellent and wear long sleeves at night.
475,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if my phone gets stolen?,"Inform the police, contact your service provider, and disable your phone remotely."
476,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Should I carry my passport while sightseeing?,Carry only a copy; keep the original in a safe place.
477,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I stay safe while shopping?,"Keep your bag closed, avoid crowded corners, and check your bill."
478,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What is the safest way to cross roads?,Use pedestrian crossings and wait until vehicles stop.
479,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Can I drink alcohol in public?,Drinking in public places is discouraged and may be restricted.
480,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I get sunburn?,"Apply aloe gel, stay hydrated, and avoid sun exposure until healed."
481,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I prevent pocket-picking?,Keep belongings in front pockets and stay alert in crowded areas.
482,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is it safe to accept food from strangers?,It is better to avoid accepting food from unknown people.
483,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What is the safest way to travel at night?,Use authorized taxis or hotel-arranged transport.
484,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Are wildlife interactions safe?,"No, avoid touching or feeding wild animals."
485,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid counterfeit products?,Buy items only from certified or reputable shops.
486,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do during thunderstorms?,"Stay indoors, unplug devices, and avoid open areas."
487,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Are medical facilities easily accessible?,"Yes, most towns have hospitals or clinics."
488,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I carry during long outdoor trips?,"Water, snacks, sunscreen, a hat, and a small first-aid kit."
489,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Is it safe to leave belongings unattended?,"No, always keep your belongings with you."
490,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I have an allergic reaction?,Seek medical help immediately and inform staff about your condition.
491,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid slipping on wet surfaces?,"Walk slowly, use handrails, and avoid running in wet areas."
492,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I know about public behavior?,"Be respectful, avoid loud conversations, and dress appropriately."
493,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How do I stay safe when using public transport?,"Hold onto railings, keep your bag close, and avoid leaning out of windows."
494,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,Should I trust unofficial tour guides?,"No, always choose licensed or recommended guides."
495,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid dehydration?,"Drink water regularly, especially in hot weather."
496,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if I encounter stray animals?,Give them space and avoid touching or feeding them.
497,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What precautions should I take during hiking?,"Follow marked trails, carry water, and avoid hiking alone."
498,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What should I do if my room key is lost?,Report it to the hotel immediately for a replacement.
499,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,How can I avoid overpriced services?,Check prices beforehand and ask for a breakdown of charges.
500,CATEGORY 10 — GENERAL TOURIST SAFETY & ADVICE,English,What is the best general safety advice for tourists?,"Stay aware, follow local guidance, and keep your belongings secure."
501,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙම නවාතැන්ගත මධ්‍යස්ථානයේ ලබාදෙන නිදන කාමර වර්ග මොනවාද?,"තනි පුද්ගල කාමර, දෙපිරිස සඳහා කාමර, පවුල් සදහා යෝග්‍ය කාමර සහ වඩාත් සුකෝමල පහසුකම් සහිත කාමර ලබාගත හැක."
502,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි නවාතැන් ගැනීම සඳහා මට ඉදිරිපත් කළ යුතු ලේඛන මොනවාද?,ඔබගේ ජාතික හැඳුනුම්පත හෝ රටවල් අතර ගමන් කරන්න භාවිත වන ගමන් ලිපි ගොනුව ඉදිරිපත් කළ යුතුය.
503,CATEGORY 1 — ACCOMMODATION,Sinhala,නිදන කාමරයේ උණු ජල පහසුකම් තිබේද?,"ඔව්, කාලය යහපත් නොවූ අවස්ථාවලද උණු ජලය ලබාගත හැකි වාරික පද්ධතියක් ඇත."
504,CATEGORY 1 — ACCOMMODATION,Sinhala,දුරකථන උපකරණ ආරෝපණය කිරීමට විදුලි සම්බන්ධකයන් තිබේද?,"ඔව්, විවිධ උපකරණ දිගටම භාවිතා කිරීමට සුදුසු සම්බන්ධකයන් කාමර තුළ සවි කර ඇත."
505,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහිදී භෝජන ලබාගත හැකිද?,"ඔව්, උදෑසන, මධ්‍ය භෝජන, සැන්දැල්ලේ සහ රාත්‍රී කාලීන භෝජන වර්ග ද සපයනු ලැබේ."
506,CATEGORY 1 — ACCOMMODATION,Sinhala,දිනපතා කාමර පිරිසිදු කිරීම මෙහි ඇතුළත්ද?,"ඔව්, දිනයකට කිසියම් අවස්ථාවකදි කාමරය පිරිසිදු කිරීම සිදු කරනු ලැබේ."
507,CATEGORY 1 — ACCOMMODATION,Sinhala,ළදරුවන් සඳහා සුදුසු නිදන කාමර තිබේද?,"ඔව්, ළදරුවන්ගේ ආරක්ෂාව හා සුවසසුව සැලකිල්ලට ගනිමින් සකස් කළ කාමර ඇත."
508,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙම නවාතැන්ගත ස්ථානයෙන් අසල නගරයට දුර කීයද?,මෙහි සිට අසළ නගරයට පැමිණීමට සීමිත මිනිත්තු කිහිපයක් පමණ ගත වේ..
509,CATEGORY 1 — ACCOMMODATION,Sinhala,පානීය ජලය කාමර තුළ ලබාදෙනවාද?,"ඔව්, පිරිසිදු කර සුරක්ෂිත කළ ජලය දිනපතා සපයනු ලබයි."
510,CATEGORY 1 — ACCOMMODATION,Sinhala,නිදන කාමරයට සම්පූර්ණ විසිඳුන නානකාමරයක් සම්බන්ධ වී තිබේද?,"ඔව්, සියලු නිදන කාමරම පෞද්ගලික නානකාමරයක් සමඟ සකස් කර ඇත."
511,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි කාමරවලින් බැලූ විට දක්නට ලැබෙන දසුන් මොනවාද?,"කඳු, වනාන්තර, දියකඩවන් හෝ සීරිලි භූ දර්ශන බලා ගත හැක."
512,CATEGORY 1 — ACCOMMODATION,Sinhala,රෑකාලයේ මෙහි පරිසරය නිශ්ශබ්දද?,"ඔව්, රෑ කාලය පුරාම ප්‍රමාණවත් නිශ්ශබ්දතාවයක් පවත්වා ගැනේ."
513,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමරවල උෂ්ණතාව පාලනයට උපකරණ ඇතිද?,"ඔව්, උෂ්ණත්වය අඩු–ඉහළ කිරීමට හැකි උපකරණ සකස් කර ඇත."
514,CATEGORY 1 — ACCOMMODATION,Sinhala,විදුලි සැපයුම කෙන්ැවීමේ අවස්ථාවකදී අමතර විදුලි බලය තිබේද?,"ඔව්, විදුලි සැපයුම බාධා වූ විටත් අඛණ්ඩ විදුලිය සපයන පද්ධතියක් ඇත."
515,CATEGORY 1 — ACCOMMODATION,Sinhala,දේශීය සම්ප්‍රදායික ආහාර වර්ග ලබාදෙනවාද?,"ඔව්, ඉතා රසවිටිය ඇති දේශීය කෑම වර්ග බහුවරණයක් සපයයි."
516,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි ගෙවීම් සිදු කළ හැක්කේ කෙසේද?,"මුදල්, බැංකු හුවමාරු සහ පළාත්මය ගෙවීම් මාර්ගයන් භාවිතා කර ගෙවීම් කළ හැක."
517,CATEGORY 1 — ACCOMMODATION,Sinhala,අයිති සාමාගම් තැන්පත් කිරීමට ගබඩා කුටියක් තිබේද?,"ඔව්, ඇඳුම් හා වෙනත් දේපළ ගබඩා කිරීමට සුදුසු කාමරික ගබඩා තැන්පතු ඇත."
518,CATEGORY 1 — ACCOMMODATION,Sinhala,ළදරුවන්ට විනෝද වීමට නියමිත ප්‍රදේශයක් තිබේද?,"ඔව්, ළදරුවන් ආරක්ෂිතව ක්‍රීඩා කළ හැකි විශේෂිත ප්‍රදේශයක් සකස් කර ඇත."
519,CATEGORY 1 — ACCOMMODATION,Sinhala,පැමිණෙන ආගන්තුකයින් කෙසේ පිළිගන්නවාද?,"උණුසුම් භාවයෙන් පිළිගනිමින්, සුවසේ සිටීමට අවශ්‍ය තොරතුරු ලබා දේ."
520,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමරය තුළ අමතර පහසුකම් මොනවාද?,"ලිවීම සඳහා මේසයක්, වියලි සෙවණැල්ලක් සහ භූගෝලීය දැනුම් ලබාදෙන පොත් වැනි අමතර අයිතම ඇත."
521,CATEGORY 1 — ACCOMMODATION,Sinhala,අසල වෙළඳග්‍රාමයට ගමන් කිරීමට පහසු මාර්ග මොනවාද?,"පායෙන්, ගමනාගමන රථවලින් හෝ වාහන කුලියට ගෙන පහසුවෙන් ගමන් කළ හැක."
522,CATEGORY 1 — ACCOMMODATION,Sinhala,රාත්‍රීකාලීන ආරක්ෂාව මෙහි පවත්වා ගන්නේ කෙසේද?,රාත්‍රීකාලය පුරා ආරක්ෂක සේවකයන් විසින් සීරුමාරු සේවය සපයයි.
523,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමර තුළ දුරකථන පහසුකම් තිබේද?,"ඔව්, අභ්‍යන්තර සන්නිවේදනය සඳහා දුරකථන මෙවලම සකස් කර ඇත."
524,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි පිරිසිදුකම පවත්වා ගන්නේ කෙසේද?,"නිතර පිරිසිදු කිරීම, සනීපාරක්ෂක පරීක්ෂණ සහ වගකීම්මය ක්‍රියාමාර්ග මගින්."
525,CATEGORY 1 — ACCOMMODATION,Sinhala,වටිනා දේපළ ආරක්ෂිතව තැබිය හැක්කේ කෙසේද?,අධික ආරක්ෂාව ඇති තැන්පත් කොටුවක් භාවිතා කර දේපළ රැකිය හැක.
526,CATEGORY 1 — ACCOMMODATION,Sinhala,පානය සඳහා දෙන ජලය පිරිසිදු කළ හැටි කුමක්ද?,පිරිශ්‍රම කර සනීපාරක්ෂාවට සරිලන පද්ධති මගින් ජලය සායම් කර සකස් කර ඇත.
527,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමර තුළ තේ හෝ කෝපි සැම්පාදනය කළ හැකිද?,"ඔව්, උණුජලය සකස් කළ හැකි උපකරණ හා අවශ්‍ය භාජන ඇත."
528,CATEGORY 1 — ACCOMMODATION,Sinhala,ආගන්තුකයෙකු අසනීප වුවහොත් ඔබ සපයන පිළිවෙළ මොනවාද?,"මූලික ප්‍රථමාධාර ලබාදී, අවශ්‍ය නම් වෛද්‍යමය සේවාවන් වෙත ගමන් සකස් කරයි."
529,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමරයේ ලිවීම සඳහා කුටියක් තිබේද?,"ඔව්, ලිවීමට හෝ වැඩකිරීමට සුදුසු මේසයක් සහ පුටුවක් ඇත."
530,CATEGORY 1 — ACCOMMODATION,Sinhala,නවාතැන්ගත ස්ථානයයේ සාමකාමී පරිසරය පවත්වා ගන්නේ කෙසේද?,"ශබ්ද පාලනය, පැහැදිලි නීති, සහ පරිසර සංරක්ෂණ ක්‍රියාමාර්ග මගින්."
531,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි නවාතැන් ලැබීමේ සහ නික්මීමේ නිල වේලාවන් මොනවාද?,"නවාතැන් ගැනීම දිවයිනේ මධ්‍ය භාගයේ දවල් 12 ට ආරම්භ වන අතර, නික්මීම පෙරවරු 10 ට සිදු වේ."
532,CATEGORY 1 — ACCOMMODATION,Sinhala,ඇඳුම් තැන්පත් කිරීමට ප්‍රමාණවත් ඉඩක් තිබේද?,"ඔව්, විශාල ගබඩා කුටියක් සහ අමතර තට්ටු ඇත."
533,CATEGORY 1 — ACCOMMODATION,Sinhala,අසල ආහාර කට්ටල හෝ කුඩා භෝජන සලස්වන ස්ථාන තිබේද?,"ඔව්, පදනම් ආහාර ලබාදෙන කුඩා වෙළඳසල් ඇත."
534,CATEGORY 1 — ACCOMMODATION,Sinhala,මෙහි දුම්පානය සම්බන්ධ නීති මොනවාද?,"බොහෝ ප්‍රදේශවල දුම්පානය තහනම් වන අතර, නියමිත ස්ථාන වලදී පමණක් සිදු කළ හැක."
535,CATEGORY 1 — ACCOMMODATION,Sinhala,නවාතැන් ඇනවුම වෙනස් කිරීමට හැකිද?,කලින් දැනුම් දී ඇනවුම වෙනස් කිරීමට හැක.
536,CATEGORY 1 — ACCOMMODATION,Sinhala,ව්‍යාපාරික කටයුතු සඳහා මෙහි පහසුකම් තිබේද?,"ඔව්, ලිවීමේ ප්‍රදේශ, සාකච්ඡා සඳහා ඉඩ සහ නිහතමානී පරිසරයක් ඇත."
537,CATEGORY 1 — ACCOMMODATION,Sinhala,ඇඳුම් සෝදන සේවාවන් ලබාදෙනවාද?,"ඔව්, ඇඳුම් සෝදන, හුන්වන සහ සිදුරු සකස් කරන සේවාවන් ඇත."
538,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමර සරසන සේවාවන් තිබේද?,"ඔව්, මල් සරසන කටයුතු හෝ අමතර සරසන අවශ්‍යතාවයන් ක්‍රියාත්මක කළ හැක."
539,CATEGORY 1 — ACCOMMODATION,Sinhala,නිශ්ශබ්දතාව රැකගැනීමට ඔබගෙන් ගන්නා පියවර මොනවාද?,"නියමිත නිශ්ශබ්ද කාල සීමා, රවුම් පාලනය සහ ආරක්ෂක සේවය."
540,CATEGORY 1 — ACCOMMODATION,Sinhala,නවාතැන්ගත ස්ථානයේ ආරක්ෂාව සඳහා නීති මොනවාද?,"ආරක්ෂිත ප්‍රවේශ පාලනය, අනතුරු වැළැක්වීමේ නීති සහ පරිපාලන උපදෙස්."
541,CATEGORY 1 — ACCOMMODATION,Sinhala,කාමරයේ එළිය පාලනය කිරීමට හැකිද?,"ඔව්, විදුලි පද්ධතිය මඟින් එළිය අඩු–ඉහළ කළ හැක."
542,CATEGORY 1 — ACCOMMODATION,Sinhala,උෂ්ණතා පාලනය සඳහා උපකරණ තිබේද?,"ඔව්, කාමර උෂ්ණත්වය සුදුසු ලෙස පාලනය කිරීමට උපකරණ සවි කර ඇත."
543,CATEGORY 1 — ACCOMMODATION,Sinhala,මම රාත්‍රී වෙලාවේ පැමිණිය හැකිද?,"ඔව්, කලින් දැනුම් දුන්නහොත් රාත්‍රීකාලීන පැමිණීම් සඳහා පහසුකම් සපයයි."
544,CATEGORY 1 — ACCOMMODATION,Sinhala,නානකාමරයේ ගැටළුවක් ඇතිවූ විට මට කළ යුත්තේ මොකක්ද?,කාර්ය මණ්ඩලයට දන්වන්න; ඔවුන් විසින් වහාම නඩත්තු සේවාවන් ක්‍රියාත්මක කෙරේ.
545,CATEGORY 1 — ACCOMMODATION,Sinhala,මාගේ දේපළ ආරක්ෂිතව තබාගත හැක්කේ කෙසේද?,අධික ආරක්ෂාව ඇති තැන්පත්කරණ කොටුව භාවිතා කිරීම හෝ මධ්‍යස්ථානයේ විශ්වාසනීය සේවකයන්ට භාරදීම සුදුසුය.
546,CATEGORY 1 — ACCOMMODATION,Sinhala,මූලික පුද්ගලික භාන්ඩ සපයනවාද?,"ඔව්, සූදානම් කර ඇති සබන්, හිස සෝදන ද්‍රව්‍ය, දත් බුරුසුව සහ නාන භාණ්ඩ සපයයි."
547,CATEGORY 1 — ACCOMMODATION,Sinhala,නානකාමර පිරිසිදුකම තහවුරු කළ යන්නේ කෙසේද?,නිතර සනීපාරක්ෂක ද්‍රව්‍ය භාවිතයෙන් පිරිසිදු කිරීම සහ පාලනය මගින්.
